ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
72	17	0	1	0	BLOB	Diss-Kapitel-II_15-11-02_06-07-96_SB02	2018-01-18T12:06:22.999	0	0	0	anonymous	127895	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:28.729
73	18	0	1	0	BLOB	Diss-Quantitative-Inhaltsanalyse_16-09-29_21-01-44_SB28	2018-01-18T12:06:24.043	0	0	0	anonymous	495753	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:29.763
74	19	0	1	0	BLOB	Diss-Teil-3-7_16-10-07_00-08-79_WB06	2018-01-18T12:06:24.532	0	0	0	anonymous	2157	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:31.497
75	20	0	1	0	BLOB	Diss-Teil-4-2_16-11-21_00-08-79_WB06	2018-01-18T12:06:25.028	0	0	0	anonymous	40278	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:32.072
76	21	0	1	0	BLOB	Diss-Visual-Frames_16-10-16_21-01-44_SB28	2018-01-18T12:06:26.052	0	0	0	anonymous	106254	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:32.845
77	22	0	1	0	BLOB	Diss-Zweisprachigkeit_12-08-02_11-07-95_SB26	2018-01-18T12:06:26.603	7	0	0	anonymous	81892	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.643
78	23	0	1	0	BLOB	Dissertation-Feldenkrais_16-02-01_17-07-29_WB06	2018-01-18T12:06:27.677	52	0	0	anonymous	151920	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.741
79	24	0	1	0	BLOB	Dissertation-Teil1_12-05-13_01-05-81	2018-01-18T12:06:28.279	2	0	0	anonymous	11699	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.964
80	25	0	1	0	BLOB	Dissertation-Teil2_12-05-13_01-05-81	2018-01-18T12:06:28.704	0	0	0	anonymous	10263	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-16T14:15:36.396
81	26	0	1	0	BLOB	Dissertation-Teil3_12-05-13_01-05-81	2018-01-18T12:06:29.126	6	0	0	anonymous	21348	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:41.992
